wellID	condition	group	media	sugar	concentration	supplement	expID	date	contamination	pH	inoculation_growth_time	plate_growth_time	species	strain	strain_origin_date	passage	lab_person	time	OD600
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	18.5	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	5.75	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	23.25	-0.026666666666666672
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	21.25	-0.026666666666666672
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	10.5	-0.006666666666666654
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	17.25	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	15.25	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	6.5	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	20	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	13.25	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	9.25	-0.006666666666666654
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	18	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	16	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	3.25	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	20.75	-0.026666666666666672
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	18.75	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	8	-0.006666666666666654
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	23.5	-0.026666666666666672
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	12.75	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	2	0.003333333333333327
