wellID	condition	group	media	sugar	concentration	supplement	expID	date	contamination	pH	inoculation_growth_time	plate_growth_time	species	strain	strain_origin_date	passage	lab_person	time	OD600
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	17.25	0.13999999999999999
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	15.25	0.16
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	6.5	0.43999999999999995
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	20	0.12999999999999998
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	13.25	0.19999999999999998
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	9.25	0.31999999999999995
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	18	0.13999999999999999
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	16	0.13999999999999999
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	3.25	0.39
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	20.75	0.11999999999999997
A01	YCFA_d_lac	YCFA_d_lac	YCFA	d_lactate	0.01	NA	lactate_combo_plate1	2025-08-19T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	18.75	0.12999999999999998
